"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>"
"SURVEY","2023","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","596,360","","","","54,730","","237,350","","9","","6.5","","13.6","","10.5","","13.9","","6","","50.9","","478,440","","18",""
"SURVEY","2023","APR THRU JUN","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,200","","15,500","","250","","2,000","","13","","2.1","","4.4","","1","","10.4","","9.1","","37.1","","3,800","","25",""
"SURVEY","2023","APR THRU JUN","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,900","","34,000","","30","","8,500","","25","","2.1","","0.7","","0","","0",""," (Z)","","15.4","","2,400","","7",""
"SURVEY","2023","APR THRU JUN","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,000","","24,000","","1,400","","1,900","","8","","2.8","","1.9","","7.4","","13.1","","3.1","","22.4","","2,200","","9",""
"SURVEY","2023","APR THRU JUN","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","131,000","","930,000","","2,900","","52,000","","6","","4","","11.3","","4.5","","3.3","","4.1","","41.6","","112,000","","12",""
"SURVEY","2023","APR THRU JUN","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,500","","33,000","","300","","1,100","","3","","5.5","","0.7","","1.3","","5.1",""," (Z)","","64.4","","1,500","","5",""
"SURVEY","2023","APR THRU JUN","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","690","","4,200","","80","","230","","5","","0.8","","2.7","","0","","4.9","","0.7","","66.3","","800","","19",""
"SURVEY","2023","APR THRU JUN","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","56,000","","295,000","","14,500","","40,000","","14","","7.1","","15.1","","18.2","","21.8","","7.7","","49.5","","23,000","","8",""
"SURVEY","2023","APR THRU JUN","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","25,000","","131,000","","7,000","","21,000","","16","","2.4","","9.8","","3.9","","12.2","","7.1","","30.2","","42,000","","32",""
"SURVEY","2023","APR THRU JUN","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","22,000","","132,000","","1,900","","7,000","","5","","5.9","","1.3","","5.7","","6.7","","1.4","","40.9","","11,000","","8",""
"SURVEY","2023","APR THRU JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,300","","9,500","","210","","530","","6","","3.2","","6.7","","6.8","","13.3","","3.7","","25.6","","700","","7",""
"SURVEY","2023","APR THRU JUN","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,100","","9,500","","300","","320","","3","","1.6","","18.3","","7.4","","5.6","","3","","23.8","","1,500","","16",""
"SURVEY","2023","APR THRU JUN","","STATE","IOWA","19","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","11,500","","69,000","","880","","4,600","","7","","4.5","","5.1","","9.9","","2.6",""," (Z)","","17.9","","2,700","","4",""
