State,Quarter,Forecast,MAE,MPE
ALABAMA,2023-Q3,13105.582935743521,3324.459930924708,23.382717971813623
ALABAMA,2023-Q4,14090.477348568962,3324.459930924708,23.382717971813623
ALABAMA,2024-Q1,15285.941189063054,3324.459930924708,23.382717971813623
ALABAMA,2024-Q2,18593.191948564607,3324.459930924708,23.382717971813623
ARIZONA,2023-Q3,20153.846109973667,5072.4784204328125,10.711109987672952
ARIZONA,2023-Q4,52317.32833712804,5072.4784204328125,10.711109987672952
ARIZONA,2024-Q1,37760.09164199031,5072.4784204328125,10.711109987672952
ARIZONA,2024-Q2,37940.73297765338,5072.4784204328125,10.711109987672952
ARKANSAS,2023-Q3,25311.16482789284,2860.2737346299973,4.485506507818231
ARKANSAS,2023-Q4,22485.78867559881,2860.2737346299973,4.485506507818231
ARKANSAS,2024-Q1,21481.867910915094,2860.2737346299973,4.485506507818231
ARKANSAS,2024-Q2,19203.85509007468,2860.2737346299973,4.485506507818231
CALIFORNIA,2023-Q3,885295.2269107248,296204.9325154859,-32.78066041862024
CALIFORNIA,2023-Q4,1263538.9253870237,296204.9325154859,-32.78066041862024
CALIFORNIA,2024-Q1,1515313.3131945964,296204.9325154859,-32.78066041862024
CALIFORNIA,2024-Q2,1267072.3509995486,296204.9325154859,-32.78066041862024
COLORADO,2023-Q3,9136.277566070976,6267.5270660149745,-0.8486361712779084
COLORADO,2023-Q4,10945.288167010967,6267.5270660149745,-0.8486361712779084
COLORADO,2024-Q1,16621.265038486483,6267.5270660149745,-0.8486361712779084
COLORADO,2024-Q2,11605.780359182425,6267.5270660149745,-0.8486361712779084
CONNECTICUT,2023-Q3,3574.410425512025,169.99775806311845,-1.9578248274036647
CONNECTICUT,2023-Q4,4236.12875942124,169.99775806311845,-1.9578248274036647
CONNECTICUT,2024-Q1,3984.4019664713296,169.99775806311845,-1.9578248274036647
CONNECTICUT,2024-Q2,4184.4019664713305,169.99775806311845,-1.9578248274036647
FLORIDA,2023-Q3,293205.9520546886,18262.722419514408,-4.990286927458992
FLORIDA,2023-Q4,304318.19157619466,18262.722419514408,-4.990286927458992
FLORIDA,2024-Q1,364294.03511965607,18262.722419514408,-4.990286927458992
FLORIDA,2024-Q2,308172.8946711033,18262.722419514408,-4.990286927458992
GEORGIA,2023-Q3,151738.62968748328,12690.999256866293,-9.321321857835423
GEORGIA,2023-Q4,187319.0082087409,12690.999256866293,-9.321321857835423
GEORGIA,2024-Q1,69521.67033466765,12690.999256866293,-9.321321857835423
GEORGIA,2024-Q2,113304.58037917386,12690.999256866293,-9.321321857835423
HAWAII,2022-Q1,18972.20963184256,1586.279366869553,-5.772839133767952
HAWAII,2022-Q2,17930.12907140363,1586.279366869553,-5.772839133767952
HAWAII,2022-Q3,23614.085559758623,1586.279366869553,-5.772839133767952
HAWAII,2022-Q4,22621.120526198654,1586.279366869553,-5.772839133767952
IDAHO,2023-Q3,144139.93615955306,42687.61237207825,-22.487585371372404
IDAHO,2023-Q4,215273.9523292853,42687.61237207825,-22.487585371372404
IDAHO,2024-Q1,202274.0039711655,42687.61237207825,-22.487585371372404
IDAHO,2024-Q2,125840.14639078762,42687.61237207825,-22.487585371372404
ILLINOIS,2023-Q3,8765.876883027791,1407.4222289008708,-9.219179294570953
ILLINOIS,2023-Q4,10906.569398377931,1407.4222289008708,-9.219179294570953
ILLINOIS,2024-Q1,9641.630211159727,1407.4222289008708,-9.219179294570953
ILLINOIS,2024-Q2,9186.797827727392,1407.4222289008708,-9.219179294570953
INDIANA,2023-Q3,11742.050408249397,2058.4595668135576,-9.68877751414204
INDIANA,2023-Q4,7660.198701173921,2058.4595668135576,-9.68877751414204
INDIANA,2024-Q1,7153.13323933701,2058.4595668135576,-9.68877751414204
INDIANA,2024-Q2,9530.750231044363,2058.4595668135576,-9.68877751414204
IOWA,2023-Q3,59268.45778003755,16034.082206869758,27.085227153037287
IOWA,2023-Q4,16830.359523705447,16034.082206869758,27.085227153037287
IOWA,2024-Q1,12748.187822033138,16034.082206869758,27.085227153037287
IOWA,2024-Q2,30141.21556888154,16034.082206869758,27.085227153037287
KANSAS,2023-Q3,5577.4832826711945,960.4221306255375,-18.277913060294644
KANSAS,2023-Q4,4453.23595679253,960.4221306255375,-18.277913060294644
KANSAS,2024-Q1,2787.3942214926933,960.4221306255375,-18.277913060294644
KANSAS,2024-Q2,1330.4374176627014,960.4221306255375,-18.277913060294644
KENTUCKY,2023-Q3,13601.957507646059,3161.2836972337564,-7.5130238837779375
KENTUCKY,2023-Q4,15791.464171942742,3161.2836972337564,-7.5130238837779375
KENTUCKY,2024-Q1,10698.50799539356,3161.2836972337564,-7.5130238837779375
KENTUCKY,2024-Q2,9244.10454890112,3161.2836972337564,-7.5130238837779375
LOUISIANA,2023-Q3,48528.63776585704,10622.214571294935,-4.023306886871227
LOUISIANA,2023-Q4,54548.50966859718,10622.214571294935,-4.023306886871227
LOUISIANA,2024-Q1,30391.13656298813,10622.214571294935,-4.023306886871227
LOUISIANA,2024-Q2,39430.06939457206,10622.214571294935,-4.023306886871227
MAINE,2023-Q3,14902.726746056047,4964.735443132757,-48.80819969701199
MAINE,2023-Q4,6882.551709881044,4964.735443132757,-48.80819969701199
MAINE,2024-Q1,11337.875876452888,4964.735443132757,-48.80819969701199
MAINE,2024-Q2,15640.143151120194,4964.735443132757,-48.80819969701199
MARYLAND,2023-Q3,7098.651180266769,2368.2376869255686,-13.627706902278597
MARYLAND,2023-Q4,8039.657784693623,2368.2376869255686,-13.627706902278597
MARYLAND,2024-Q1,5747.608312272767,2368.2376869255686,-13.627706902278597
MARYLAND,2024-Q2,6804.476539829466,2368.2376869255686,-13.627706902278597
MASSACHUSETTS,2023-Q3,9445.309212434018,1747.969376989211,-23.08546643616058
MASSACHUSETTS,2023-Q4,6426.046737994534,1747.969376989211,-23.08546643616058
MASSACHUSETTS,2024-Q1,8285.876501564813,1747.969376989211,-23.08546643616058
MASSACHUSETTS,2024-Q2,10768.041903367355,1747.969376989211,-23.08546643616058
MICHIGAN,2023-Q3,98774.46723543311,2344.9236269296525,-0.6424550834496673
MICHIGAN,2023-Q4,69936.69518188038,2344.9236269296525,-0.6424550834496673
MICHIGAN,2024-Q1,68568.47971948555,2344.9236269296525,-0.6424550834496673
MICHIGAN,2024-Q2,70936.54494286122,2344.9236269296525,-0.6424550834496673
MINNESOTA,2023-Q3,93693.1601438609,19098.588125250306,-24.286329673942152
MINNESOTA,2023-Q4,87474.60497989292,19098.588125250306,-24.286329673942152
MINNESOTA,2024-Q1,100873.13569251793,19098.588125250306,-24.286329673942152
MINNESOTA,2024-Q2,108122.14995736127,19098.588125250306,-24.286329673942152
MISSISSIPPI,2023-Q3,28186.36500236296,7869.243856025714,15.440944250368926
MISSISSIPPI,2023-Q4,28574.173744201977,7869.243856025714,15.440944250368926
MISSISSIPPI,2024-Q1,34479.82177364738,7869.243856025714,15.440944250368926
MISSISSIPPI,2024-Q2,77127.41647103679,7869.243856025714,15.440944250368926
MISSOURI,2023-Q3,11351.437489465003,1837.6674101569015,-22.467622095303092
MISSOURI,2023-Q4,10669.130322855735,1837.6674101569015,-22.467622095303092
MISSOURI,2024-Q1,8043.629479709826,1837.6674101569015,-22.467622095303092
MISSOURI,2024-Q2,8493.527799217014,1837.6674101569015,-22.467622095303092
MONTANA,2023-Q3,131498.48277061238,11258.726906553515,-11.082030140492547
MONTANA,2023-Q4,87354.82669787333,11258.726906553515,-11.082030140492547
MONTANA,2024-Q1,63442.98308695263,11258.726906553515,-11.082030140492547
MONTANA,2024-Q2,99030.00342257184,11258.726906553515,-11.082030140492547
NEBRASKA,2023-Q3,50693.65890243249,13064.69983402911,-6.255914022896655
NEBRASKA,2023-Q4,46693.658902432486,13064.69983402911,-6.255914022896655
NEBRASKA,2024-Q1,22693.65890243249,13064.69983402911,-6.255914022896655
NEBRASKA,2024-Q2,27693.65890243249,13064.69983402911,-6.255914022896655
NEW JERSEY,2023-Q3,16204.448562762522,5704.363173731594,-11.077418536178394
NEW JERSEY,2023-Q4,16121.977345193158,5704.363173731594,-11.077418536178394
NEW JERSEY,2024-Q1,17331.20849611527,5704.363173731594,-11.077418536178394
NEW JERSEY,2024-Q2,21341.891510568337,5704.363173731594,-11.077418536178394
NEW MEXICO,2023-Q3,8121.802262054549,1698.2254898908927,17.076375114084367
NEW MEXICO,2023-Q4,6865.596326331585,1698.2254898908927,17.076375114084367
NEW MEXICO,2024-Q1,6476.4873809673945,1698.2254898908927,17.076375114084367
NEW MEXICO,2024-Q2,4201.016087963586,1698.2254898908927,17.076375114084367
NEW YORK,2023-Q3,50766.75106639365,7742.121350352116,15.223866785101443
NEW YORK,2023-Q4,54547.080059532884,7742.121350352116,15.223866785101443
NEW YORK,2024-Q1,42737.50488070797,7742.121350352116,15.223866785101443
NEW YORK,2024-Q2,46684.432630748124,7742.121350352116,15.223866785101443
NORTH CAROLINA,2023-Q3,33577.71985916706,4541.211169916872,15.063581841605039
NORTH CAROLINA,2023-Q4,29577.719859167064,4541.211169916872,15.063581841605039
NORTH CAROLINA,2024-Q1,30577.719859167068,4541.211169916872,15.063581841605039
NORTH CAROLINA,2024-Q2,28577.719859167064,4541.211169916872,15.063581841605039
NORTH DAKOTA,2023-Q3,515213.03676650766,192908.355856836,15.796907273903246
NORTH DAKOTA,2023-Q4,385213.03676650766,192908.355856836,15.796907273903246
NORTH DAKOTA,2024-Q1,84213.03676650766,192908.355856836,15.796907273903246
