Quarter,State,"HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>"
2015_Q1,MISSOURI,220.0,13000.0,,2000.0,15.0,2.2,11.8,4.2,6.0,6.3,13.1,910.0,7.0
2015_Q1,NEBRASKA,120.0,31000.0,,2600.0,8.0,0.1,0.3,0.5,0.1,3.0,5.9,310.0,1.0
2015_Q1,NEW JERSEY,570.0,9000.0,,1100.0,12.0,30.4,19.5,11.1,13.2,16.7,40.1,1600.0,18.0
2015_Q1,NEW MEXICO,190.0,7000.0,,690.0,10.0,0.0,1.3,0.2,0.1,0.4,17.1,600.0,9.0
2015_Q1,NEW YORK,430.0,30000.0,,6500.0,22.0,0.5,12.4,4.4,2.6,8.3,7.6,950.0,3.0
2015_Q1,NORTH CAROLINA,6000.0,26000.0,,7000.0,27.0,0.1,6.2,22.9,2.3,12.2,35.5,690.0,3.0
2015_Q1,NORTH DAKOTA,1800.0,120000.0,,620.0,1.0,0.0,2.5,0.0,1.7,0.1,1.7,530.0,0.0
2015_Q1,OHIO,5000.0,22000.0,,10500.0,48.0,1.0,17.8,3.0,1.6,3.1,10.7,3300.0,15.0
2015_Q1,OKLAHOMA,2600.0,26000.0,,6000.0,23.0,0.5,2.1,0.0,10.1,2.9,14.5,260.0,1.0
2015_Q1,OREGON,4300.0,87000.0,,6500.0,8.0,0.4,1.6,0.6,2.0,1.1,20.2,2400.0,3.0
2015_Q1,OTHER STATES,870.0,8990.0,,2080.0,23.0,0.0,0.9,0.1,0.1,0.0,0.8,150.0,2.0
2015_Q1,PENNSYLVANIA,360.0,21000.0,,6500.0,31.0,1.9,17.8,1.9,6.3,6.3,28.1,0.0,0.0
2015_Q1,SOUTH CAROLINA,2700.0,17500.0,,2700.0,15.0,0.2,3.6,0.3,2.3,2.9,10.5,1400.0,8.0
2015_Q1,SOUTH DAKOTA,8500.0,97000.0,,4600.0,5.0,0.3,1.2,0.5,0.9,1.8,1.2,2800.0,3.0
2015_Q1,TENNESSEE,1000.0,9500.0,,2000.0,21.0,0.0,13.0,0.0,17.1,4.4,22.2,190.0,2.0
2015_Q1,TEXAS,82000.0,250000.0,,26000.0,10.0,5.0,2.3,11.1,12.2,6.2,21.5,51000.0,20.0
2015_Q1,UTAH,2500.0,24000.0,,3300.0,14.0,0.1,3.0,4.4,0.9,0.5,13.6,290.0,1.0
2015_Q1,VERMONT,1200.0,5500.0,,700.0,13.0,0.0,5.8,0.0,5.6,4.9,2.3,20.0,0.0
2015_Q1,VIRGINIA,800.0,9000.0,,2500.0,28.0,2.3,9.8,0.0,9.4,11.9,19.0,460.0,5.0
2015_Q1,WASHINGTON,13500.0,105000.0,,14000.0,13.0,0.3,6.0,3.6,0.5,1.1,21.5,9000.0,9.0
2015_Q1,MONTANA,1400.0,36000.0,,2200.0,6.0,0.6,2.3,0.8,0.5,7.9,8.7,1100.0,3.0
2015_Q1,WYOMING,2000.0,12000.0,,2000.0,17.0,0.0,0.7,0.0,0.0,0.0,0.9,1400.0,12.0
2015_Q1,MISSISSIPPI,22000.0,76000.0,,8500.0,11.0,0.1,1.2,2.1,8.2,1.1,9.4,7500.0,10.0
2015_Q1,MINNESOTA,690.0,74000.0,,3700.0,5.0,0.0,1.6,0.1,0.1,2.1,1.4,530.0,1.0
2015_Q1,ALABAMA,2800.0,7000.0,,1800.0,26.0,0.0,9.1,2.2,5.4,9.4,10.0,250.0,4.0
2015_Q1,ARIZONA,3400.0,35000.0,,4600.0,13.0,0.1,1.8,0.0,20.5,3.1,26.9,2100.0,6.0
2015_Q1,ARKANSAS,1200.0,14000.0,,1500.0,11.0,1.5,1.0,3.4,11.4,1.0,17.6,90.0,1.0
2015_Q1,CALIFORNIA,250000.0,1690000.0,,255000.0,15.0,3.0,6.5,7.5,7.2,2.8,24.7,124000.0,7.0
2015_Q1,COLORADO,200.0,12500.0,,1500.0,12.0,1.8,2.6,0.6,0.9,5.9,14.6,140.0,1.0
2015_Q1,CONNECTICUT,290.0,3900.0,,870.0,22.0,0.0,21.2,0.0,1.4,2.4,2.5,0.0,0.0
2015_Q1,FLORIDA,54000.0,315000.0,,42000.0,13.0,0.8,5.1,8.9,13.5,4.4,22.3,25000.0,8.0
2015_Q1,GEORGIA,47000.0,105000.0,,14500.0,14.0,3.3,4.8,2.6,4.9,10.5,6.2,9500.0,9.0
2015_Q1,HAWAII,3400.0,10500.0,,380.0,4.0,1.6,2.0,0.0,37.7,0.0,38.8,760.0,7.0
2015_Q1,WEST VIRGINIA,570.0,6000.0,,1800.0,30.0,2.2,14.6,2.1,7.3,6.1,18.0,60.0,1.0
2015_Q1,IDAHO,2600.0,88000.0,,3700.0,4.0,12.5,8.9,4.8,6.7,4.9,39.8,8000.0,9.0
2015_Q1,INDIANA,490.0,9500.0,,2100.0,22.0,0.2,22.3,0.3,0.3,11.7,20.7,120.0,1.0
2015_Q1,IOWA,1700.0,17500.0,,3100.0,18.0,4.6,18.0,3.4,0.7,3.4,26.0,270.0,2.0
2015_Q1,KANSAS,450.0,7000.0,,1600.0,23.0,1.1,9.5,14.2,1.3,3.4,32.7,70.0,1.0
2015_Q1,KENTUCKY,250.0,10500.0,,4100.0,39.0,2.5,22.7,2.5,10.7,12.9,10.8,0.0,0.0
2015_Q1,LOUISIANA,3100.0,51000.0,,8000.0,16.0,4.3,3.1,1.7,4.7,2.1,17.2,6500.0,13.0
2015_Q1,MAINE,20.0,6500.0,,380.0,6.0,0.0,7.5,0.0,0.1,1.9,4.4,0.0,0.0
2015_Q1,MARYLAND,1600.0,10000.0,,4100.0,41.0,0.4,24.2,0.0,1.8,12.4,10.1,870.0,9.0
2015_Q1,MASSACHUSETTS,260.0,4600.0,,1000.0,22.0,2.1,7.6,2.8,3.5,4.7,23.5,120.0,3.0
2015_Q1,MICHIGAN,7500.0,60000.0,,11500.0,19.0,1.1,8.3,1.6,3.1,4.6,14.3,2400.0,4.0
2015_Q1,ILLINOIS,2300.0,10500.0,,4200.0,40.0,0.7,12.6,0.4,6.9,11.6,12.3,390.0,4.0
2015_Q1,WISCONSIN,3100.0,29000.0,,8000.0,28.0,2.7,8.3,8.5,1.6,5.8,18.8,2500.0,9.0
2015_Q2,WYOMING,7500.0,25000.0,,3200.0,13.0,0.8,8.3,3.6,17.9,2.4,19.1,5000.0,20.0
2015_Q2,WEST VIRGINIA,2900.0,4700.0,,570.0,12.0,0.6,4.6,2.7,8.3,4.4,15.6,590.0,13.0
2015_Q2,WISCONSIN,10000.0,65000.0,,4600.0,7.0,1.0,15.2,8.2,5.6,2.3,35.3,5500.0,9.0
2015_Q2,WASHINGTON,15000.0,127000.0,,5000.0,4.0,2.2,3.2,2.0,0.2,0.5,48.7,13000.0,10.0
2015_Q2,MONTANA,14000.0,210000.0,,4200.0,2.0,0.8,1.6,5.3,0.9,0.0,9.0,33000.0,16.0
2015_Q2,NEBRASKA,15500.0,68000.0,,4100.0,6.0,0.0,2.1,1.4,6.9,1.5,6.5,4600.0,7.0
2015_Q2,NEW JERSEY,2100.0,19000.0,,1800.0,10.0,0.3,1.0,26.1,3.6,2.4,52.5,2900.0,15.0
