Quarter,State,Colonies_Added_And_Replaced,Max_Colonies,Pct_Affected_Deadout,Pct_Affected_Disease,Pct_Affected_Other,Pct_Affected_Pesticides,Pct_Affected_Pests,Pct_Affected_Unknown,Pct_Affected_Varroa_Mites,Num_Renovated,Pct_Renovated,Max_Colonies_Pct_Change,Pct_Affected_Colony_Collapse_Disorder
2015_Q1,ALABAMA,2800.0,7000.0,26.0,0.0,9.1,2.2,5.4,9.4,10.0,250.0,4.0,,
2015_Q2,ALABAMA,1900.0,7500.0,12.0,0.0,3.2,2.3,42.5,4.1,16.7,680.0,9.0,7.142857142857142,
2015_Q3,ALABAMA,160.0,9000.0,16.0,0.0,2.2,2.6,70.6,17.7,63.1,260.0,3.0,20.0,
2015_Q4,ALABAMA,80.0,8000.0,8.0,0.2,2.8,0.2,6.4,1.9,3.1,60.0,1.0,-11.11111111111111,
2016_Q1,ALABAMA,2100.0,7500.0,23.0,4.3,2.4,8.1,22.0,11.3,24.2,90.0,1.0,-6.25,
2016_Q2,ALABAMA,1200.0,8000.0,12.0,0.3,4.8,1.7,8.2,5.4,9.6,690.0,9.0,6.666666666666667,
2016_Q3,ALABAMA,440.0,8000.0,15.0,0.0,3.2,3.8,42.0,13.8,11.7,50.0,1.0,0.0,
2016_Q4,ALABAMA,50.0,7000.0,9.0,0.2,6.7,2.4,9.9,3.3,12.3,10.0,0.0,-12.5,
2017_Q1,ALABAMA,570.0,7000.0,23.0,0.2,6.7,3.2,9.8,9.3,19.9,740.0,11.0,0.0,
2017_Q2,ALABAMA,1200.0,6500.0,7.0,0.0,9.4,4.2,13.6,5.3,17.9,500.0,8.0,-7.142857142857142,
2017_Q3,ALABAMA,690.0,9500.0,9.0,0.0,7.5,35.4,22.1,3.9,69.5,530.0,6.0,46.15384615384615,
2017_Q4,ALABAMA,550.0,7500.0,13.0,8.8,1.7,9.5,10.1,5.2,22.3,500.0,7.0,-21.052631578947366,
2018_Q1,ALABAMA,1200.0,7500.0,11.0,1.9,8.6,14.9,30.2,4.5,29.2,1500.0,20.0,0.0,
2018_Q2,ALABAMA,1700.0,8500.0,8.0,1.3,9.4,14.4,27.3,2.1,25.2,710.0,8.0,13.333333333333334,
2018_Q3,ALABAMA,1600.0,8500.0,20.0,0.7,7.8,14.6,69.4,6.8,77.5,1300.0,15.0,0.0,
2018_Q4,ALABAMA,210.0,6500.0,13.0,1.3,3.4,1.5,20.5,7.5,20.6,1300.0,20.0,-23.52941176470588,
